proxy_name,rds_file,n_loocv_rows,overall_total_obs,overall_n_zero,overall_n_positive,overall_pct_positive,overall_mean_proxy,overall_median_proxy,euets0_total_obs,euets0_n_zero,euets0_n_positive,euets0_pct_positive,euets0_mean_proxy,euets0_median_proxy,euets1_total_obs,euets1_n_zero,euets1_n_positive,euets1_pct_positive,euets1_mean_proxy,euets1_median_proxy,mod_fuel_def,mod_use_siec_all,mod_supplier_non_euets,mod_buyer_sector_siec,mod_emissions_weighted,mod_supplier_nace_filter,mod_proxy_id
proxy_fuelDefbroad_ch27_siecAll1_nonEUETS1_buyerSIEC0_wEm1_nacehigh,X:/Documents/JARDANG/carbon_policy_networks/code/inferring_emissions/02_proxies/cache/proxy_fuelDefbroad_ch27_siecAll1_nonEUETS1_buyerSIEC0_wEm1_nacehigh.rds,6642,6622,1080,5542,0.836907278767744,520617389.759681,286741.490611613,2685,929,1756,0.654003724394786,364989765.071907,17710.7417006476,3937,151,3786,0.961645923291847,626754085.793888,1753943.6954209,broad_ch27,TRUE,TRUE,FALSE,TRUE,high,34
proxy_fuelDefbroad_ch27_siecAll1_nonEUETS1_buyerSIEC0_wEm1_nacehigh_medium,X:/Documents/JARDANG/carbon_policy_networks/code/inferring_emissions/02_proxies/cache/proxy_fuelDefbroad_ch27_siecAll1_nonEUETS1_buyerSIEC0_wEm1_nacehigh_medium.rds,6642,6622,1016,5606,0.846572032618544,592067974.120763,346373.058912309,2685,898,1787,0.665549348230913,365469197.27222,20351.0786522326,3937,118,3819,0.97002794005588,746606383.020518,2242160.09303163,broad_ch27,TRUE,TRUE,FALSE,TRUE,high_medium,35
proxy_fuelDefbroad_ch27_siecAll1_nonEUETS1_buyerSIEC0_wEm1_nacenone,X:/Documents/JARDANG/carbon_policy_networks/code/inferring_emissions/02_proxies/cache/proxy_fuelDefbroad_ch27_siecAll1_nonEUETS1_buyerSIEC0_wEm1_nacenone.rds,6642,6622,186,6436,0.971911809121112,662086007.086706,3932297.02149285,2685,168,2517,0.937430167597765,376509501.14437,196145.376428625,3937,18,3919,0.995427990855982,856846717.895741,16416537.7239771,broad_ch27,TRUE,TRUE,FALSE,TRUE,none,36
proxy_fuelDefbroad_ch27_siecAll1_nonEUETS1_buyerSIEC1_wEm0_nacehigh,X:/Documents/JARDANG/carbon_policy_networks/code/inferring_emissions/02_proxies/cache/proxy_fuelDefbroad_ch27_siecAll1_nonEUETS1_buyerSIEC1_wEm0_nacehigh.rds,6642,6622,4469,2153,0.325128360012081,63646661.43582,0,2685,2303,382,0.142271880819367,53640777.3992365,0,3937,2166,1771,0.449834899669799,70470587.9377826,0,broad_ch27,TRUE,TRUE,TRUE,FALSE,high,22
proxy_fuelDefbroad_ch27_siecAll1_nonEUETS1_buyerSIEC1_wEm0_nacehigh_medium,X:/Documents/JARDANG/carbon_policy_networks/code/inferring_emissions/02_proxies/cache/proxy_fuelDefbroad_ch27_siecAll1_nonEUETS1_buyerSIEC1_wEm0_nacehigh_medium.rds,6642,6622,4469,2153,0.325128360012081,63646661.43582,0,2685,2303,382,0.142271880819367,53640777.3992365,0,3937,2166,1771,0.449834899669799,70470587.9377826,0,broad_ch27,TRUE,TRUE,TRUE,FALSE,high_medium,23
proxy_fuelDefbroad_ch27_siecAll1_nonEUETS1_buyerSIEC1_wEm0_nacenone,X:/Documents/JARDANG/carbon_policy_networks/code/inferring_emissions/02_proxies/cache/proxy_fuelDefbroad_ch27_siecAll1_nonEUETS1_buyerSIEC1_wEm0_nacenone.rds,6642,6622,4469,2153,0.325128360012081,63646661.43582,0,2685,2303,382,0.142271880819367,53640777.3992365,0,3937,2166,1771,0.449834899669799,70470587.9377826,0,broad_ch27,TRUE,TRUE,TRUE,FALSE,none,24
proxy_fuelDefbroad_ch27_siecAll1_nonEUETS1_buyerSIEC1_wEm1_nacehigh,X:/Documents/JARDANG/carbon_policy_networks/code/inferring_emissions/02_proxies/cache/proxy_fuelDefbroad_ch27_siecAll1_nonEUETS1_buyerSIEC1_wEm1_nacehigh.rds,6642,6622,4633,1989,0.300362428269405,493614662.264073,0,2685,2324,361,0.134450651769088,359761231.188301,0,3937,2309,1628,0.413512827025654,584901546.297208,0,broad_ch27,TRUE,TRUE,TRUE,TRUE,high,46
proxy_fuelDefbroad_ch27_siecAll1_nonEUETS1_buyerSIEC1_wEm1_nacehigh_medium,X:/Documents/JARDANG/carbon_policy_networks/code/inferring_emissions/02_proxies/cache/proxy_fuelDefbroad_ch27_siecAll1_nonEUETS1_buyerSIEC1_wEm1_nacehigh_medium.rds,6642,6622,4633,1989,0.300362428269405,493614662.264073,0,2685,2324,361,0.134450651769088,359761231.188301,0,3937,2309,1628,0.413512827025654,584901546.297208,0,broad_ch27,TRUE,TRUE,TRUE,TRUE,high_medium,47
proxy_fuelDefbroad_ch27_siecAll1_nonEUETS1_buyerSIEC1_wEm1_nacenone,X:/Documents/JARDANG/carbon_policy_networks/code/inferring_emissions/02_proxies/cache/proxy_fuelDefbroad_ch27_siecAll1_nonEUETS1_buyerSIEC1_wEm1_nacenone.rds,6642,6622,4633,1989,0.300362428269405,493614662.264073,0,2685,2324,361,0.134450651769088,359761231.188301,0,3937,2309,1628,0.413512827025654,584901546.297208,0,broad_ch27,TRUE,TRUE,TRUE,TRUE,none,48
proxy_fuelDefstrict_cn8_siecAll0_nonEUETS0_buyerSIEC0_wEm0_nacehigh,X:/Documents/JARDANG/carbon_policy_networks/code/inferring_emissions/02_proxies/cache/proxy_fuelDefstrict_cn8_siecAll0_nonEUETS0_buyerSIEC0_wEm0_nacehigh.rds,6642,6622,1490,5132,0.774992449411054,28311503.0490988,38235.9597167969,2685,1206,1479,0.550837988826816,10065092.9811971,1313,3937,284,3653,0.927863855727711,40755397.1390953,266413.87,strict_cn8,FALSE,FALSE,FALSE,FALSE,high,49
